participant,group,score,type
P3,G1,3,OD-WR
P17,G1,4,OD-WR
P18,G1,3,OD-WR
P21,G1,4,OD-WR
P23,G1,2,OD-WR
P24,G1,2,OD-WR
P1,G2,4,OD-WR
P2,G2,5,OD-WR
P4,G2,4,OD-WR
P8,G2,4,OD-WR
P9,G2,4,OD-WR
P10,G2,3,OD-WR
P12,G2,4,OD-WR
P13,G2,3,OD-WR
P15,G2,4,OD-WR
P16,G2,3,OD-WR
P20,G2,3,OD-WR
P22,G2,3,OD-WR
P5,G3,3,OD-WR
P6,G3,4,OD-WR
P7,G3,2,OD-WR
P11,G3,3,OD-WR
P14,G3,3,OD-WR
P19,G3,4,OD-WR
P3,G1,2,OD-RR
P17,G1,3,OD-RR
P18,G1,2,OD-RR
P21,G1,3,OD-RR
P23,G1,2,OD-RR
P24,G1,1,OD-RR
P1,G2,3,OD-RR
P2,G2,4,OD-RR
P4,G2,3,OD-RR
P8,G2,2,OD-RR
P9,G2,3,OD-RR
P10,G2,2,OD-RR
P12,G2,2,OD-RR
P13,G2,2,OD-RR
P15,G2,2,OD-RR
P16,G2,3,OD-RR
P20,G2,1,OD-RR
P22,G2,2,OD-RR
P5,G3,1,OD-RR
P6,G3,2,OD-RR
P7,G3,3,OD-RR
P11,G3,2,OD-RR
P14,G3,2,OD-RR
P19,G3,3,OD-RR
P3,G1,4,PF
P17,G1,2,PF
P18,G1,3,PF
P21,G1,5,PF
P23,G1,4,PF
P24,G1,5,PF
P1,G2,4,PF
P2,G2,5,PF
P4,G2,5,PF
P8,G2,5,PF
P9,G2,5,PF
P10,G2,4,PF
P12,G2,5,PF
P13,G2,5,PF
P15,G2,5,PF
P16,G2,4,PF
P20,G2,5,PF
P22,G2,4,PF
P5,G3,5,PF
P6,G3,5,PF
P7,G3,4,PF
P11,G3,2,PF
P14,G3,4,PF
P19,G3,4,PF
